Subject,Start Date,End Date,Start Time,End Time,Description,Location
Partita U12F,11/11/23,11/11/23,14.30,16.30,BASSO CANAVESE VOLLEY GIALLA - GIANFERR VOLLEY,Polifunzionale via San Giovanni Bosco 2/a - FOGLIZZO
Partita U12F,17/11/23,17/11/23,19.00,21.00,FRASSATI SAN CARLO - BASSO CANAVESE VOLLEY GIALLA,Palavauda Viale Europa Vauda CANAVESE
Partita U12F,25/11/23,25/11/23,15.00,17.00,BASSO CANAVESE VOLLEY GIALLA - VE LA,Polifunzionale- Via San Giovanni Bosco 2/a- Foglizzo
Partita U12F,2/12/23,2/12/23,11.00,13.00,POLI VENARIA - BASSO CANAVESE VOLLEY GIALLA,"Palestra S.E. “Rigola” Via G. Amati, 134 - Venaria Reale"
Partita U12F,9/12/23,9/12/23,15.00,17.00,BASSO CANAVESE VOLLEY GIALLA - ALTO CANAVESE VOLLEY,Polifunzionale- Via San Giovanni Bosco 2/a- Foglizzo
Partita U12F,16/12/23,16/12/23,14.30,16.30,GIANFERR VOLLEY - BASSO CANAVESE VOLLEY GIALLA,PALESTRA DELLE SCUOLE VIA LEMIN SORMANO FAVRIA
Partita U12F,13/01/24,13/01/24,15.00,17.00,BASSO CANAVESE VOLLEY GIALLA - FRASSATI SAN CARLO,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Partita U12F,20/01/24,20/01/24,15.00,17.00,VE LA - BASSO CANAVESE VOLLEY GIALLA,"Palestra Gramsci - Via Motrassino, 10 - VENARIA REALE"
Partita U12F,27/01/24,27/01/24,15.00,17.00,BASSO CANAVESE VOLLEY GIALLA - POLI VENARIA,Polifunzionale- Via San Giovanni Bosco 2/a- Foglizzo
Partita U12F,3/02/24,3/02/24,14.30,16.30,ALTO CANAVESE VOLLEY - BASSO CANAVESE VOLLEY GIALLA,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
